*History for Amtrak ALL TRAINS at SLM (Salem, OR)
*Train #	Sch Dp	Act Dp
511	06/26/2019 10:51 AM (We)	11:07AM
500	06/26/2019 6:41 AM (We)	6:44AM
505	06/25/2019 7:11 PM (Tu)	7:51PM
508	06/25/2019 5:41 PM (Tu)	5:52PM
11	06/25/2019 3:37 PM (Tu)	3:56PM
14	06/25/2019 1:55 PM (Tu)	2:35PM
511	06/25/2019 10:51 AM (Tu)	11:03AM
500	06/25/2019 6:41 AM (Tu)	6:50AM
505	06/24/2019 7:11 PM (Mo)	7:45PM
508	06/24/2019 5:41 PM (Mo)	5:49PM
11	06/24/2019 3:37 PM (Mo)	3:46PM
14	06/24/2019 1:55 PM (Mo)	3:05PM
511	06/24/2019 10:51 AM (Mo)	10:59AM
500	06/24/2019 6:41 AM (Mo)	6:55AM
505	06/23/2019 7:11 PM (Su)	7:36PM
508	06/23/2019 5:41 PM (Su)	6:08PM
11	06/23/2019 3:37 PM (Su)	3:45PM
14	06/23/2019 1:55 PM (Su)	3:24PM
513	06/23/2019 1:36 PM (Su)	1:48PM
506	06/23/2019 10:11 AM (Su)	10:23AM
505	06/22/2019 7:11 PM (Sa)	7:18PM
508	06/22/2019 5:41 PM (Sa)	5:44PM
11	06/22/2019 3:37 PM (Sa)	3:38PM
14	06/22/2019 1:55 PM (Sa)	2:39PM
513	06/22/2019 1:36 PM (Sa)	1:41PM
506	06/22/2019 10:11 AM (Sa)	10:35AM
505	06/21/2019 7:11 PM (Fr)	7:43PM
508	06/21/2019 5:41 PM (Fr)	5:52PM
11	06/21/2019 3:37 PM (Fr)	3:41PM
14	06/21/2019 1:55 PM (Fr)	2:21PM
511	06/21/2019 10:51 AM (Fr)	10:57AM
500	06/21/2019 6:41 AM (Fr)	6:50AM
505	06/20/2019 7:11 PM (Th)	7:51PM
508	06/20/2019 5:41 PM (Th)	5:43PM
11	06/20/2019 3:37 PM (Th)	7:40PM
14	06/20/2019 1:55 PM (Th)	3:54PM
511	06/20/2019 10:51 AM (Th)	10:57AM
500	06/20/2019 6:41 AM (Th)	6:58AM
505	06/19/2019 7:11 PM (We)	7:34PM
508	06/19/2019 5:41 PM (We)	5:46PM
11	06/19/2019 3:37 PM (We)	3:42PM
14	06/19/2019 1:55 PM (We)	4:17PM
511	06/19/2019 10:51 AM (We)	11:00AM
500	06/19/2019 6:41 AM (We)	6:56AM
505	06/18/2019 7:11 PM (Tu)	7:43PM
508	06/18/2019 5:41 PM (Tu)	5:47PM
11	06/18/2019 3:37 PM (Tu)	4:06PM
14	06/18/2019 1:55 PM (Tu)	2:56PM
511	06/18/2019 10:51 AM (Tu)	11:08AM
500	06/18/2019 6:41 AM (Tu)	6:51AM
505	06/17/2019 7:11 PM (Mo)	
508	06/17/2019 5:41 PM (Mo)	
11	06/17/2019 3:37 PM (Mo)	3:38PM
14	06/17/2019 1:55 PM (Mo)	2:28PM
